component,feature,loading,abs_loading
PC25,Away_pens_conceded,-0.3698876957571095,0.3698876957571095
PC25,Home_pens_att,0.3325979074493362,0.3325979074493362
PC25,Away_pens_made,-0.2428428221283257,0.2428428221283257
PC25,Away_pens_won,0.2411011549453031,0.2411011549453031
PC25,Home_passing_accuracy,0.23049052650726037,0.23049052650726037
PC25,Home_pens_conceded,0.2226999142875685,0.2226999142875685
PC25,Away_own_goals,0.22198271244660153,0.22198271244660153
PC25,Away_pens_att,-0.20398511316569787,0.20398511316569787
PC26,Home_offsides,-0.5056404751933636,0.5056404751933636
PC26,Away_offsides,-0.487271193250161,0.487271193250161
PC26,Home_interceptions,0.34135049024757597,0.34135049024757597
PC26,Away_interceptions,0.3323162375352903,0.3323162375352903
PC26,Home_cards_red,-0.21855539307253294,0.21855539307253294
PC26,Home_tackles,-0.18618205100194007,0.18618205100194007
PC26,Away_tackles,-0.1750525640835809,0.1750525640835809
PC26,Home_corners,-0.12651058493034367,0.12651058493034367
PC26,Home_cards_yellow,0.12183680536837721,0.12183680536837721
PC26,Home_cards,0.12177661559836492,0.12177661559836492
PC27,Away_cards_red,-0.5048787977348015,0.5048787977348015
PC27,Home_goal_kicks,0.42484562809836324,0.42484562809836324
PC27,Home_cards_red,0.3167293897110815,0.3167293897110815
PC27,Away_goal_kicks,0.29027975700664854,0.29027975700664854
PC27,Away_corners,-0.23242989042837126,0.23242989042837126
PC27,Home_throw_ins,-0.22556004861301465,0.22556004861301465
PC27,Away_long_balls,0.16555406816340992,0.16555406816340992
PC27,Away_cards_yellow,0.16426091193695624,0.16426091193695624
PC27,Away_cards,0.1641009938194599,0.1641009938194599
PC27,Home_fouled,-0.1425245486672478,0.1425245486672478
PC28,Home_cards_red,0.5030502035638386,0.5030502035638386
PC28,Away_goal_kicks,-0.38988364500774186,0.38988364500774186
PC28,Away_cards_red,-0.38597278456968165,0.38597278456968165
PC28,Home_goal_kicks,-0.25634332615327016,0.25634332615327016
PC28,Home_corners,0.25148980682052385,0.25148980682052385
PC28,Home_throw_ins,0.1785966304791497,0.1785966304791497
PC28,Away_throw_ins,0.17083631226876753,0.17083631226876753
PC28,Away_long_balls,-0.12845616346488237,0.12845616346488237
PC28,Away_offsides,-0.1267610575763432,0.1267610575763432
PC28,Home_cards_yellow,-0.12232052047873279,0.12232052047873279
PC29,Home_long_balls,0.44362392508141624,0.44362392508141624
PC29,Away_long_balls,-0.4048344370186448,0.4048344370186448
PC29,Home_throw_ins,0.38580444474642844,0.38580444474642844
PC29,Away_throw_ins,-0.3245882690776599,0.3245882690776599
PC29,Home_goal_kicks,0.260730579408456,0.260730579408456
PC29,Away_goal_kicks,-0.17019206105799187,0.17019206105799187
PC29,Away_aerials_won,-0.15566607059256105,0.15566607059256105
PC29,Home_interceptions,-0.1460240726233542,0.1460240726233542
PC29,Home_tackles_won,0.14424663879250443,0.14424663879250443
PC29,Home_corners,-0.14131260600695017,0.14131260600695017
PC30,Away_aerials_won,0.4847655579377007,0.4847655579377007
PC30,Away_throw_ins,-0.468730896677411,0.468730896677411
PC30,Away_clearances,0.3330308404566901,0.3330308404566901
PC30,Home_throw_ins,-0.297750239466062,0.297750239466062
PC30,Away_goal_kicks,-0.25371718677838817,0.25371718677838817
PC30,Home_saves,0.17629417004210537,0.17629417004210537
PC30,Away_saves,0.17003967370783146,0.17003967370783146
PC30,Home_long_balls,-0.16606490152967104,0.16606490152967104
PC30,Home_assists,0.13033069083523552,0.13033069083523552
PC30,Home_aerials_won,0.12184823385637186,0.12184823385637186
PC31,Home_clearances,0.5181894665353914,0.5181894665353914
PC31,Away_aerials_won,-0.34372854921539325,0.34372854921539325
PC31,Home_goal_kicks,-0.30481339231068844,0.30481339231068844
PC31,Home_long_balls,0.28491042930966715,0.28491042930966715
PC31,Home_aerials_won,0.26226989515228877,0.26226989515228877
PC31,Away_shots,-0.23560919595609317,0.23560919595609317
