our_name,footballbert_player_id,match_type,match_score
aleksandar kolarov,ba087220,exact,100.0
aleksandar mitrovic,ba021084,exact,100.0
aleksandar pantic,ba041419,exact,100.0
aleksandar pavlovic,ba013998,exact,100.0
aleksandar pesic,ba059659,exact,100.0
aleksandar radovanovic,ba003435,exact,100.0
aleksandar sedlar,ba059803,exact,100.0
aleksandar tonev,ba070835,exact,100.0
aleksandar trajkovski,ba048634,exact,100.0
aleksandr golovin,ba020290,exact,100.0
aleksey miranchuk,ba062140,fuzzy,94.11764526367188
alem pasic,ba033874,exact,100.0
alemao,ba006682,exact,100.0
alen halilovic,ba061071,exact,100.0
alen sherri,ba094021,exact,100.0
ales mateju,ba081783,exact,100.0
alessandro agostini,ba054725,exact,100.0
alessandro bastoni,ba043150,exact,100.0
alessandro berardi,ba086657,exact,100.0
alessandro bernardini,ba003395,exact,100.0
alessandro bianco,ba078647,exact,100.0
alessandro bruno,ba026828,exact,100.0
alessandro buongiorno,ba027563,exact,100.0
alessandro circati,ba006574,exact,100.0
alessandro crescenzi,ba091983,exact,100.0
alessandro deiola,ba046635,exact,100.0
alessandro di pardo,ba082538,exact,100.0
alessandro diamanti,ba074589,exact,100.0
alessandro florenzi,ba083130,exact,100.0
alessandro frara,ba056695,exact,100.0
alessandro gamberini,ba052372,exact,100.0
alessandro gazzi,ba036822,exact,100.0
alessandro iacobucci,ba005618,exact,100.0
alessandro longhi,ba007760,exact,100.0
alessandro lucarelli,ba013862,exact,100.0
alessandro marcandalli,ba077463,exact,100.0
alessandro matri,ba032743,exact,100.0
alessandro murgia,ba092162,exact,100.0
alessandro piu,ba083623,exact,100.0
alessandro russo,ba021127,exact,100.0
alessandro schopf,ba005960,exact,100.0
alessandro semprini,ba081214,exact,100.0
alessandro sorrentino,ba052437,exact,100.0
alessandro tripaldelli,ba025559,exact,100.0
alessandro tuia,ba014152,exact,100.0
alessandro vogliacco,ba038375,exact,100.0
alessandro zanoli,ba021803,exact,100.0
alessio castro-montes,ba042605,exact,100.0
alessio cerci,ba030714,exact,100.0
alessio cragno,ba090064,exact,100.0
alessio da cruz,ba066828,exact,100.0
alessio iovine,ba003057,exact,100.0
alessio romagnoli,ba023081,exact,100.0
alessio sestu,ba000941,exact,100.0
alessio zerbin,ba076885,exact,100.0
alex,ba004203,exact,100.0
alex alegria,ba025808,exact,100.0
alex baena,ba030009,exact,100.0
alex berenguer,ba080829,exact,100.0
alex bergantinos,ba037554,exact,100.0
alex blanco,ba067347,fuzzy,91.66666412353516
alex bruce,ba005894,exact,100.0
alex centelles,ba063874,exact,100.0
alex collado,ba049056,exact,100.0
alex cordaz,ba084559,exact,100.0
alex dobre,,unmatched,0.0
alex fernandez,ba017589,exact,100.0
alex ferrari,ba076630,exact,100.0
alex fores,ba078850,exact,100.0
alex freeman,,unmatched,0.0
alex gallar,ba020212,exact,100.0
alex geijo,,unmatched,0.0
alex granell,ba059432,exact,100.0
alex iwobi,ba039916,exact,100.0
alex jimenez,ba063658,exact,100.0
alex kral,ba084783,exact,100.0
alex lopez,ba005193,exact,100.0
alex martin,ba046964,exact,100.0
alex martinez,ba082875,exact,100.0
alex mccarthy,ba020181,exact,100.0
alex menendez,ba081393,exact,100.0
alex meret,ba054307,exact,100.0
alex moreno,ba008358,exact,100.0
alex mula,ba069259,exact,100.0
alex munoz,ba048825,exact,100.0
alex oxlade-chamberlain,ba020952,exact,100.0
alex padilla,ba093974,exact,100.0
alex palmer,ba040642,exact,100.0
alex petxa,ba055606,exact,100.0
alex pozo,,unmatched,0.0
alex primo,,unmatched,0.0
alex pritchard,ba093787,exact,100.0
alex remiro,ba020399,exact,100.0
alex robles,ba082120,exact,100.0
alex sala,ba054045,exact,100.0
alex sancris,,unmatched,0.0
alex sandro,ba004962,exact,100.0
alex scott,ba005930,exact,100.0
alex sola,ba035289,exact,100.0
alex song,,unmatched,0.0
alex suarez,ba057180,exact,100.0
alex telles,ba084836,exact,100.0
alex toth,ba034712,exact,100.0
alex valle,ba055343,exact,100.0
alexander bernhardsson,ba081753,exact,100.0
alexander briedl,ba053051,exact,100.0
alexander brunst,ba056096,exact,100.0
alexander buttner,ba060159,exact,100.0
alexander djiku,ba025014,exact,100.0
alexander esswein,ba066142,exact,100.0
alexander farnerud,ba054172,exact,100.0
alexander hack,ba060775,exact,100.0
alexander isak,ba052304,exact,100.0
alexander kacaniklic,ba051181,exact,100.0
alexander madlung,ba063918,exact,100.0
alexander manninger,,unmatched,0.0
alexander meier,ba019961,exact,100.0
alexander merkel,ba029991,exact,100.0
alexander meyer,ba066468,exact,100.0
alexander milosevic,ba017226,exact,100.0
alexander nubel,ba064326,exact,100.0
alexander prass,ba037677,exact,100.0
alexander røssing-lelesiit,ba035536,exact,100.0
alexander schlager,ba041064,exact,100.0
alexander schwolow,ba004895,exact,100.0
alexander szymanowski,,unmatched,0.0
alexander søderlund,ba084438,exact,100.0
alexander sørloth,ba085561,exact,100.0
alexander tettey,ba043023,exact,100.0
alexandre coeff,ba071861,exact,100.0
alexandre jankewitz,ba045605,exact,100.0
alexandre lacazette,ba057756,exact,100.0
alexandre lauray,ba063839,exact,100.0
alexandre letellier,ba055336,exact,100.0
alexandre mendy,ba082409,exact,100.0
alexandre olliero,ba073895,exact,100.0
alexandre oukidja,ba063864,exact,100.0
alexandre pato,ba046156,exact,100.0
alexandre raineau,ba009373,exact,100.0
alexandru maxim,ba036128,exact,100.0
alexandru mitrita,ba027169,exact,100.0
alexi peuget,ba012733,exact,100.0
alexis alegue,ba005582,exact,100.0
alexis beka beka,ba027356,exact,100.0
alexis blin,ba072870,exact,100.0
alexis busin,ba013317,exact,100.0
alexis claude-maurice,ba042578,exact,100.0
alexis flips,ba074458,exact,100.0
alexis mac allister,ba048295,exact,100.0
alexis ruano,,unmatched,0.0
alexis saelemaekers,ba087413,exact,100.0
alexis sanchez,ba016089,exact,100.0
alexis thebaux,ba085383,exact,100.0
alexis tibidi,ba074248,exact,100.0
alexis trouillet,ba003878,exact,100.0
alexis vossah,ba011133,fuzzy,91.66666412353516
alexsandro,ba004962,fuzzy,95.23809814453125
alexy bosetti,ba026810,exact,100.0
alfie doughty,ba070021,exact,100.0
alfie gilchrist,ba079711,exact,100.0
alfie mawson,ba077556,exact,100.0
alfon gonzalez,ba053095,fuzzy,93.33333587646484
alfonso espino,ba080421,exact,100.0
alfonso pedraza,ba036866,exact,100.0
alfred duncan,ba030347,exact,100.0
alfred finnbogason,ba091716,fuzzy,94.44444274902344
alfred gomis,ba075859,exact,100.0
alfred n'diaye,ba043816,exact,100.0
alfredo donnarumma,ba031550,exact,100.0
alfredo morales,ba093665,exact,100.0
alfredo ortuno,ba066333,exact,100.0
alharbi el jadeyaoui,ba029889,exact,100.0
alhassan wakaso,ba024191,exact,100.0
ali abdi,ba063515,exact,100.0
ali adnan,,unmatched,0.0
ali ahamada,ba004196,exact,100.0
ali dembele,ba086322,exact,100.0
ali houary,ba097166,exact,100.0
ali youssif,ba054364,fuzzy,95.23809814453125
alidu seidu,ba075795,exact,100.0
alieu fadera,ba030582,exact,100.0
alieu njie,,unmatched,0.0
alimami gory,ba059670,fuzzy,91.66666412353516
alin tosca,ba018417,exact,100.0
alioun fall,ba043063,exact,100.0
alireza jahanbakhsh,ba003074,exact,100.0
alisson,ba044780,exact,100.0
alisson santos,ba072817,exact,100.0
aljaz struna,ba067472,exact,100.0
aljoscha kemlein,ba025898,exact,100.0
allan,ba064951,exact,100.0
allan mcgregor,ba089444,exact,100.0
allan nyom,ba055453,exact,100.0
allan saint-maximin,ba015737,exact,100.0
ally samatta,,unmatched,0.0
almamy toure,ba073633,exact,100.0
almen abdi,ba051772,exact,100.0
almog cohen,ba033636,exact,100.0
almugera kabar,ba094121,exact,100.0
alois confais,ba030685,exact,100.0
alou diarra,ba056948,exact,100.0
alpha sissoko,,unmatched,0.0
alpha toure,,unmatched,0.0
alphonse areola,ba017438,exact,100.0
alphonso davies,ba079090,exact,100.0
altay bayındır,ba002686,exact,100.0
alvaro aguado,ba000509,exact,100.0
alvaro arbeloa,ba040342,exact,100.0
alvaro arroyo,ba065538,exact,100.0
alvaro bastida,ba024557,exact,100.0
alvaro carreras,ba018970,exact,100.0
alvaro cejudo,ba059893,exact,100.0
alvaro djalo,ba025686,exact,100.0
alvaro dominguez,ba075192,exact,100.0
alvaro fernandez,ba021272,exact,100.0
alvaro fidalgo,ba072999,exact,100.0
alvaro garcia,ba006195,exact,100.0
alvaro garcia pascual,,unmatched,0.0
alvaro gimenez,ba008744,exact,100.0
alvaro gonzalez,ba001539,exact,100.0
alvaro jimenez,ba035186,exact,100.0
alvaro lemos,ba018288,exact,100.0
alvaro medran,ba018007,exact,100.0
alvaro morata,ba006753,exact,100.0
alvaro negredo,ba036778,exact,100.0
alvaro nunez,,unmatched,0.0
alvaro odriozola,ba010614,exact,100.0
alvaro pereira,ba009890,exact,100.0
alvaro rodriguez,ba010919,exact,100.0
alvaro rubio,ba007506,exact,100.0
alvaro tejero,ba049326,exact,100.0
alvaro vadillo,ba036027,exact,100.0
alvaro valles,ba000546,exact,100.0
alvaro vazquez,ba077342,exact,100.0
aly abeid,ba068819,exact,100.0
aly cissokho,ba048232,exact,100.0
aly malle,ba072256,exact,100.0
aly ndom,ba082084,exact,100.0
amad diallo,ba057772,exact,100.0
amadou cisse,ba099334,exact,100.0
amadou diawara,ba070019,exact,100.0
amadou haidara,ba053654,exact,100.0
amadou kone,ba017100,exact,100.0
amadou onana,ba047807,exact,100.0
amadou salif mbengue,,unmatched,0.0
amady camara,ba041607,exact,100.0
amar dedic,ba069031,exact,100.0
amari'i bell,ba021267,exact,100.0
amath ndiaye,,unmatched,0.0
amato ciciretti,ba009750,exact,100.0
amauri,ba061657,exact,100.0
ambroise oyongo,ba083601,exact,100.0
ameen al-dakhil,ba054248,exact,100.0
amer gojak,ba030168,exact,100.0
amin sarr,ba078203,exact,100.0
amin younes,ba012619,exact,100.0
amine adli,ba081149,exact,100.0
amine bassi,ba075867,exact,100.0
amine gouiri,ba062533,exact,100.0
amine harit,ba085061,exact,100.0
amine salama,ba069053,exact,100.0
amine sbai,ba097236,fuzzy,90.0
amir abrashi,ba010249,exact,100.0
amir murillo,,unmatched,0.0
amir richardson,ba015881,exact,100.0
amir rrahmani,ba027674,exact,100.0
amorim,ba049770,exact,100.0
amos pieper,ba030311,exact,100.0
anaitz arbilla,ba048746,exact,100.0
anas haj mohamed,,unmatched,0.0
anass salah-eddine,ba004829,exact,100.0
anass zaroury,ba002917,exact,100.0
anastasios donis,ba005533,exact,100.0
anastasios douvikas,ba048819,exact,100.0
ander barrenetxea,ba011697,exact,100.0
ander capa,ba020639,exact,100.0
ander guevara,ba052183,exact,100.0
ander herrera,ba024844,exact,100.0
ander iturraspe,ba040350,exact,100.0
ander martin,ba082916,exact,100.0
anders christiansen,ba043657,exact,100.0
anders konradsen,ba035770,exact,100.0
anders lindegaard,ba036671,exact,100.0
anderson,ba009310,exact,100.0
anderson lucoqui,ba031490,exact,100.0
andersson ordonez,ba057288,fuzzy,96.96969604492188
andi lila,ba081359,exact,100.0
andi zeqiri,ba076355,exact,100.0
andoni gorosabel,ba040882,exact,100.0
andoni iraola,ba089848,exact,100.0
andoni lopez,ba092670,exact,100.0
andras schafer,ba001745,exact,100.0
andre,ba007168,exact,100.0
andre almeida,ba038168,exact,100.0
andre ayew,ba034595,exact,100.0
andre brooks,ba035135,exact,100.0
andre carrillo,ba042957,exact,100.0
andre dias,ba055090,exact,100.0
andre ferreira,ba006820,exact,100.0
andre gomes,ba009247,exact,100.0
andre gray,ba071188,exact,100.0
andre hahn,ba075342,exact,100.0
andre hoffmann,ba019384,exact,100.0
andre onana,ba085783,exact,100.0
andre poko,,unmatched,0.0
andre ramalho,ba042734,exact,100.0
andre schurrle,ba086894,exact,100.0
andre silva,ba023188,exact,100.0
andre wisdom,ba062755,exact,100.0
andre-pierre gignac,ba032584,exact,100.0
andrea barberis,ba018694,exact,100.0
andrea barzagli,ba045514,exact,100.0
andrea beghetto,ba024898,exact,100.0
andrea belotti,ba078885,exact,100.0
andrea bertolacci,ba073121,exact,100.0
andrea cambiaso,ba013312,exact,100.0
andrea carboni,ba090967,exact,100.0
andrea cistana,ba093364,exact,100.0
andrea coda,ba040426,exact,100.0
andrea colpani,ba037075,exact,100.0
andrea consigli,ba051549,exact,100.0
andrea conti,ba052774,exact,100.0
andrea cossu,ba041446,exact,100.0
andrea costa,ba090260,exact,100.0
andrea danzi,ba013945,exact,100.0
andrea dossena,,unmatched,0.0
andrea favilli,ba025151,exact,100.0
andrea fulignati,ba009236,exact,100.0
andrea la mantia,ba071634,exact,100.0
andrea lazzari,ba016598,exact,100.0
andrea mantovani,ba087291,exact,100.0
andrea masiello,ba082327,exact,100.0
andrea nalini,ba037518,exact,100.0
andrea papetti,ba024141,exact,100.0
andrea petagna,ba001515,exact,100.0
andrea pinamonti,ba003215,exact,100.0
andrea pirlo,ba041738,exact,100.0
andrea poli,ba065956,exact,100.0
andrea raggi,ba069325,exact,100.0
andrea ranocchia,ba030770,exact,100.0
andrea rispoli,ba021374,exact,100.0
andrea schiavone,ba027710,exact,100.0
andrea seculin,ba072226,exact,100.0
andrea tabanelli,ba066542,exact,100.0
andreas beck,ba000265,exact,100.0
andreas bruus,ba064647,exact,100.0
andreas christensen,ba010492,exact,100.0
andreas cornelius,ba072852,exact,100.0
andreas hanche-olsen,ba017006,exact,100.0
andreas hountondji,ba000959,exact,100.0
andreas ivanschitz,ba076425,exact,100.0
andreas linde,ba028499,exact,100.0
andreas luthe,ba046909,exact,100.0
andreas muller,ba012492,exact,100.0
andreas pereira,ba037682,exact,100.0
andreas skov olsen,ba072254,exact,100.0
andreas voglsammer,ba080285,exact,100.0
andreas weimann,ba033016,exact,100.0
andreaw gravillon,ba026882,fuzzy,96.96969604492188
andrei girotto,ba022100,exact,100.0
andrei motoc,ba066779,exact,100.0
andrei radu,ba025648,exact,100.0
andrei ratiu,ba065075,exact,100.0
andrej ilic,ba075231,exact,100.0
andrej kramaric,ba035464,exact,100.0
andres andrade,ba041062,exact,100.0
andres antanon,,unmatched,0.0
andres castrin,,unmatched,0.0
andres cubas,ba056865,exact,100.0
andres fernandez,ba017770,exact,100.0
andres garcia,ba023664,exact,100.0
andres gomez,ba030385,exact,100.0
andres guardado,ba087772,exact,100.0
andres iniesta,ba076261,exact,100.0
andres martin,ba015666,exact,100.0
andres prieto,ba006244,exact,100.0
andres solano,ba073516,exact,100.0
andres tello,ba035262,exact,100.0
andreu fontas,ba005508,exact,100.0
andrew hjulsager,ba017197,exact,100.0
andrew irving,,unmatched,0.0
andrew omobamidele,ba071679,exact,100.0
